metric,msa,lookup_id
pop_resident,PHI,PCWPOP
pop_resident,PHO,PHXPOP
pop_resident,POR,PORPOP
pop_resident,RIV,RSBPOP
pop_resident,SAN,SDIPOP
pop_resident,SEA,STWPOP
pop_resident,SFO,SFCPOP
pop_resident,STL,STLPOP
pop_resident,TAM,TMAPOP
pop_resident,WDC,WSHPOP
cpi_rent,ATL,CUURA319SEHA
cpi_rent,BAL,
cpi_rent,BOS,CUURA103SEHA
cpi_rent,CHI,CUURA207SEHA
cpi_rent,DAL,CUURA316SEHA
cpi_rent,DEN,CUUSA433SEHA
cpi_rent,DET,CUURA208SEHA
cpi_rent,HOU,CUURA318SEHA
cpi_rent,LOS,CUURA421SEHA
cpi_rent,MIA,CUURA320SEHA
cpi_rent,MIN,CUUSA211SEHA
cpi_rent,NEW,CUURA101SEHA
cpi_rent,PHI,CUURA102SEHA
cpi_rent,PHO,CUUSA429SEHA
cpi_rent,POR,CUUSA425SEHA
cpi_rent,RIV,
cpi_rent,SAN,CUUSA424SEHA
cpi_rent,SEA,CUURA423SEHA
cpi_rent,SFO,CUURA422SEHA
cpi_rent,STL,CUUSA209SEHA
cpi_rent,TAM,CUUSA321SEHA
cpi_rent,WDC,CUURA311SEHA
min_wage_state,ATL,STTMINWGGA
min_wage_state,BAL,STTMINWGMD
min_wage_state,BOS,STTMINWGMA
min_wage_state,CHI,STTMINWGIL
min_wage_state,DAL,STTMINWGTX
min_wage_state,DEN,STTMINWGCO
min_wage_state,DET,STTMINWGMI
min_wage_state,HOU,STTMINWGTX
min_wage_state,LOS,STTMINWGCA
min_wage_state,MIA,STTMINWGFL
min_wage_state,MIN,STTMINWGMN
min_wage_state,NEW,STTMINWGNY
min_wage_state,PHI,STTMINWGPA
min_wage_state,PHO,STTMINWGAZ
min_wage_state,POR,STTMINWGOR
min_wage_state,RIV,STTMINWGCA
min_wage_state,SAN,STTMINWGCA
min_wage_state,SEA,STTMINWGWA
min_wage_state,SFO,STTMINWGCA
min_wage_state,STL,STTMINWGMO
min_wage_state,TAM,STTMINWGFL
min_wage_state,WDC,STTMINWGDC
new_housing,ATL,ATLA013BPPRIVSA
new_housing,BAL,BALT524BPPRIVSA
new_housing,BOS,BOST625BPPRIVSA
new_housing,CHI,CHIC917BPPRIVSA
new_housing,DAL,DALL148BPPRIVSA
new_housing,DEN,DENV708BPPRIVSA
new_housing,DET,DETR826BPPRIVSA
new_housing,HOU,HOUS448BPPRIVSA
new_housing,LOS,LOSA106BPPRIVSA
new_housing,MIA,MIAM112BPPRIVSA
new_housing,MIN,MINN427BPPRIVSA
new_housing,NEW,NEWY636BPPRIVSA
new_housing,PHI,PHIL942BPPRIVSA
new_housing,PHO,PHOE004BPPRIVSA
new_housing,POR,PORT941BPPRIVSA
new_housing,RIV,RIVE106BPPRIVSA
new_housing,SAN,SAND706BPPRIVSA
new_housing,SEA,SEAT653BPPRIVSA
new_housing,SFO,SANF806BPPRIVSA
new_housing,STL,STLBPPRIVSA
new_housing,TAM,TAMP312BPPRIVSA
new_housing,WDC,WASH911BPPRIVSA
